dataset,model,grid_km,folds,features_signature,rows,pos_ratio,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,best_t_mean,brier_mean,run_id,timestamp,input_path
terrain_hydro_river,RF_balanced,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6802670996967095,0.0312389746990746,0.2741115718262483,0.0303678309663351,0.3833130163263474,0.0292614837157609,0.1099999999999999,0.1382969556196525,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_hydro,RF_balanced,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6806870606515288,0.0307268830744323,0.2736659513541434,0.0287967138338233,0.3843200914267045,0.031176303820415,0.086,0.1397939095238095,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_hydro_river,RF_default,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6785502931023198,0.0382701038650672,0.2731214702598223,0.0309035863172864,0.3833023519523446,0.0347601005977145,0.13,0.1385239465301184,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_only,RF_balanced,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.687131722703184,0.0264671309758434,0.2728994612265494,0.0312724722346039,0.3906031430505196,0.0336279959182776,0.1119999999999999,0.1416902826570737,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_hydro,LR_balanced_scaled,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6700630316361414,0.0506543449847278,0.2718209189314982,0.0531261722140533,0.3897847029901279,0.0327950631780822,0.478,0.2295561112246327,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_hydro,RF_default,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6794164217821997,0.0319880762546506,0.2717052375566984,0.028472705411894,0.3859173715787113,0.0365411767787357,0.136,0.140110692790165,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_only,RF_default,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.6866160431398673,0.0269744532241855,0.2709036403114975,0.0310388030747826,0.3902930154596645,0.0278370731248255,0.128,0.1423563183065422,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_hydro_river,LR_balanced_scaled,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.669498575481889,0.0515893105277642,0.2703588314384703,0.0526430754832713,0.3889295308665235,0.0363536339714578,0.484,0.2294906064267952,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_hydro,LR_balanced_scaled,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6705613546480724,0.0406988766381657,0.2677639098829391,0.0515063462466619,0.3870511685932435,0.0465626579988381,0.474,0.2299625957740706,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_hydro_river,LR_balanced_scaled,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6701940198388711,0.0475590797728622,0.266537365108024,0.0593987266465864,0.3865369155096781,0.0488318692231132,0.4640000000000001,0.229841923612998,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_only,LR_balanced_scaled,50.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.652323300104279,0.049933522972988,0.2646863623959487,0.0417135246774765,0.3670999824544784,0.0370793754369791,0.484,0.2329987139991184,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_only,LR_balanced_scaled,20.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.6538287524824833,0.0409570362943692,0.2629526646801313,0.0543701460564733,0.3660260093275701,0.0416854932457925,0.4600000000000001,0.2328463188607465,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
terrain_hydro,LR_balanced_scaled,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi,3041,0.1723117395593554,0.6693671672687074,0.0328939639132359,0.2628181852177426,0.0341022569137984,0.3830351980850435,0.0434190508400989,0.492,0.2296494188800021,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro.parquet
terrain_hydro_river,LR_balanced_scaled,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos|log_spi|log_sca|twi|log_dist_river,3041,0.1723117395593554,0.6702287612114287,0.0322724402044202,0.2619299186573494,0.0389730092440227,0.3851762096435602,0.0427621074638041,0.49,0.2293604485156048,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_model_hydro_river.parquet
terrain_only,LR_balanced_scaled,10.0,5,elev_m|slope_deg|aspect_sin|aspect_cos,3041,0.1723117395593554,0.65363180716974,0.0378930680995461,0.2615274562417943,0.0492777040099474,0.3703460724829019,0.0465833918215035,0.496,0.2325646107159188,20260304_110702,2026-03-04T11:07:02,C:\Users\mehme\Desktop\landslide-tr-blacksea\data\processed\features_nepal_r05_real001_clean.parquet
